,spotlist_id,max_day,spotlist_image
98,2023023,5,image/100512000000sg1145AB6_D_350_170_Q90.jpg
99,2023024,6,image/30021d000001eezxa4F37_D_350_170_Q90.jpg
100,2023025,6,image/100o11000000qajsn808E_D_350_170_Q90.jpg
101,2023026,5,image/30051c000001d1k5sACE8_D_350_170_Q90.jpg
102,2023027,4,image/200n1e000001fscpp965A_D_350_170_Q90.jpg
103,2023028,4,image/300e1c000001dqqfzF828_D_350_170_Q90.jpg
104,2023029,4,image/Cghzf1WwsYOAFmwcADqn-PTJsSs886_D_350_170_Q90.jpg
105,2023030,6,image/CghzfFWw39yAAXmCACYFDJh_em8005_D_350_170_Q90.jpg
106,2023031,2,image/300o1c000001dmtxnFBB6_D_350_170_Q90.jpg
107,2023032,7,image/CggYG1bT-faAYQ2OACMF6rWq2A4899_D_350_170_Q90.jpg
108,2023033,5,image/300a1c000001dpb1s47CA_D_350_170_Q90.jpg
109,2023034,4,image/100210000000ozv5a64AB_D_350_170_Q90.jpg
110,2023035,4,image/0302312000851zsa19F65_D_350_170_Q90.jpg
111,2023036,5,image/3001160000010qswp5C46_D_350_170_Q90.jpg
112,2023037,5,image/0303l1200082q2n9k0D68_D_350_170_Q90.jpg
113,2023038,5,image/300w1a0000018muor2169_D_350_170_Q90.jpg
114,2023039,5,image/30051b000001bn7s28401_D_350_170_Q90.jpg
115,2023040,4,image/0305d1200082ij2gwC1B3_D_350_170_Q90.jpg
