,spotlist_id,housemodel_id
360,2021037,2021078
361,2021037,2021055
362,2021037,2021053
363,2021037,2021079
364,2021037,2021059
365,2021037,2021061
366,2021037,2021063
367,2021037,2021065
368,2021037,2021080
369,2021037,2021081
370,2021038,2021005
371,2021038,2021015
372,2021038,2021012
373,2021038,2021041
374,2021038,2021016
375,2021038,2021042
376,2021038,2021044
377,2021038,2021007
378,2021038,2021003
379,2021038,2021017
380,2021039,2021005
381,2021039,2021015
382,2021039,2021012
383,2021039,2021041
384,2021039,2021016
385,2021039,2021042
386,2021039,2021044
387,2021039,2021007
388,2021039,2021003
389,2021039,2021017
390,2021040,2021005
391,2021040,2021012
392,2021040,2021041
393,2021040,2021016
394,2021040,2021044
395,2021040,2021007
396,2021040,2021003
397,2021040,2021017
398,2021040,2021011
399,2021040,2021094
400,2022001,2022000
401,2022001,2022001
402,2022001,2022002
403,2022001,2022003
404,2022001,2022004
405,2022001,2022005
406,2022001,2022006
407,2022001,2022007
408,2022001,2022008
409,2022001,2022009
410,2022002,2022010
411,2022002,2022011
412,2022002,2022012
413,2022002,2022013
414,2022002,2022014
415,2022002,2022015
416,2022002,2022016
417,2022002,2022017
418,2022002,2022018
419,2022002,2022019
420,2022003,2022020
421,2022003,2022021
422,2022003,2022022
423,2022003,2022023
424,2022003,2022024
425,2022003,2022025
426,2022003,2022026
427,2022003,2022027
428,2022003,2022028
429,2022003,2022029
430,2022004,2022020
431,2022004,2022030
432,2022004,2022031
433,2022004,2022023
434,2022004,2022032
435,2022004,2022033
436,2022004,2022034
437,2022004,2022029
438,2022004,2022028
439,2022004,2022035
440,2022005,2022036
441,2022005,2022037
442,2022005,2022038
443,2022005,2022039
444,2022005,2022040
445,2022005,2022041
446,2022005,2022042
447,2022005,2022043
448,2022005,2022044
449,2022005,2022045
450,2022006,2022020
451,2022006,2022021
452,2022006,2022022
453,2022006,2022023
454,2022006,2022024
455,2022006,2022034
456,2022006,2022025
457,2022006,2022026
458,2022006,2022027
459,2022006,2022028
460,2022007,2022046
461,2022007,2022047
462,2022007,2022048
463,2022007,2022049
464,2022007,2022050
465,2022007,2022051
466,2022007,2022052
467,2022007,2022053
468,2022007,2022054
469,2022007,2022055
470,2022008,2022004
471,2022008,2022000
472,2022008,2022006
473,2022008,2022056
474,2022008,2022003
475,2022008,2022007
476,2022008,2022001
477,2022008,2022002
478,2022008,2022005
479,2022008,2022057
480,2022009,2022058
481,2022009,2022059
482,2022009,2022060
483,2022009,2022061
484,2022009,2022062
485,2022009,2022002
486,2022009,2022063
487,2022009,2022064
488,2022009,2022000
489,2022009,2022065
490,2022010,2022010
491,2022010,2022011
492,2022010,2022012
493,2022010,2022013
494,2022010,2022014
495,2022010,2022015
496,2022010,2022016
497,2022010,2022017
498,2022010,2022018
499,2022010,2022019
500,2022011,2022004
501,2022011,2022000
502,2022011,2022006
503,2022011,2022056
504,2022011,2022003
505,2022011,2022007
506,2022011,2022001
507,2022011,2022002
508,2022011,2022057
509,2022011,2022005
510,2022012,2022079
511,2022012,2022020
512,2022012,2022080
513,2022012,2022081
514,2022012,2022082
515,2022012,2022083
516,2022012,2022084
517,2022012,2022023
518,2022012,2022085
519,2022012,2022028
520,2022013,2022004
521,2022013,2022000
522,2022013,2022006
523,2022013,2022056
524,2022013,2022003
525,2022013,2022007
526,2022013,2022001
527,2022013,2022002
528,2022013,2022057
529,2022013,2022005
530,2022014,2022004
531,2022014,2022000
532,2022014,2022006
533,2022014,2022056
534,2022014,2022003
535,2022014,2022007
536,2022014,2022001
537,2022014,2022002
538,2022014,2022057
539,2022014,2022005
540,2022015,2022004
541,2022015,2022000
542,2022015,2022006
543,2022015,2022056
544,2022015,2022007
545,2022015,2022001
546,2022015,2022002
547,2022015,2022057
548,2022015,2022005
549,2022015,2022092
550,2022016,2022004
551,2022016,2022000
552,2022016,2022006
553,2022016,2022056
554,2022016,2022007
555,2022016,2022001
556,2022016,2022002
557,2022016,2022057
558,2022016,2022005
559,2022016,2022092
560,2022017,2022097
561,2022017,2022098
562,2022017,2022099
563,2022017,2022100
564,2022017,2022101
565,2022017,2022102
566,2022017,2022103
567,2022017,2022104
568,2022017,2022105
569,2022017,2022106
570,2022018,2022004
571,2022018,2022000
572,2022018,2022006
573,2022018,2022056
574,2022018,2022007
575,2022018,2022001
576,2022018,2022002
577,2022018,2022057
578,2022018,2022005
579,2022018,2022092
580,2022019,2022111
581,2022019,2022077
582,2022019,2022086
583,2022019,2022068
584,2022019,2022067
585,2022019,2022087
586,2022019,2022088
587,2022019,2022073
588,2022019,2022112
589,2022019,2022089
590,2022020,2022020
591,2022020,2022030
592,2022020,2022031
593,2022020,2022023
594,2022020,2022033
595,2022020,2022032
596,2022020,2022029
597,2022020,2022035
598,2022020,2022094
599,2022020,2022084
600,2022021,2022004
601,2022021,2022000
602,2022021,2022006
603,2022021,2022056
604,2022021,2022007
605,2022021,2022001
606,2022021,2022002
607,2022021,2022057
608,2022021,2022005
609,2022021,2022107
610,2022022,2022020
611,2022022,2022030
612,2022022,2022031
613,2022022,2022023
614,2022022,2022032
615,2022022,2022033
616,2022022,2022029
617,2022022,2022117
618,2022022,2022035
619,2022022,2022094
620,2022023,2022004
621,2022023,2022000
622,2022023,2022006
623,2022023,2022056
624,2022023,2022007
625,2022023,2022001
626,2022023,2022002
627,2022023,2022057
628,2022023,2022005
629,2022023,2022107
630,2022024,2022036
631,2022024,2022038
632,2022024,2022037
633,2022024,2022040
634,2022024,2022039
635,2022024,2022041
636,2022024,2022042
637,2022024,2022095
638,2022024,2022076
639,2022024,2022043
640,2022025,2022097
641,2022025,2022098
642,2022025,2022099
643,2022025,2022100
644,2022025,2022101
645,2022025,2022102
646,2022025,2022104
647,2022025,2022115
648,2022025,2022105
649,2022025,2022116
650,2022026,2022020
651,2022026,2022030
652,2022026,2022031
653,2022026,2022023
654,2022026,2022032
655,2022026,2022033
656,2022026,2022029
657,2022026,2022117
658,2022026,2022035
659,2022026,2022094
660,2022027,2022020
661,2022027,2022021
662,2022027,2022022
663,2022027,2022024
664,2022027,2022025
665,2022027,2022029
666,2022027,2022027
667,2022027,2022129
668,2022027,2022110
669,2022027,2022096
670,2022028,2022020
671,2022028,2022021
672,2022028,2022022
673,2022028,2022024
674,2022028,2022025
675,2022028,2022029
676,2022028,2022027
677,2022028,2022129
678,2022028,2022110
679,2022028,2022096
680,2022029,2022004
681,2022029,2022006
682,2022029,2022007
683,2022029,2022001
684,2022029,2022002
685,2022029,2022057
686,2022029,2022107
687,2022029,2022092
688,2022029,2022128
689,2022029,2022010
690,2022030,2022020
691,2022030,2022162
692,2022030,2022079
693,2022030,2022023
694,2022030,2022080
695,2022030,2022029
696,2022030,2022083
697,2022030,2022082
698,2022030,2022163
699,2022030,2022081
700,2022031,2022079
701,2022031,2022020
702,2022031,2022081
703,2022031,2022083
704,2022031,2022080
705,2022031,2022085
706,2022031,2022082
707,2022031,2022023
708,2022031,2022093
709,2022031,2022153
710,2022032,2022095
711,2022032,2022130
712,2022032,2022176
713,2022032,2022177
714,2022032,2022179
715,2022032,2022180
716,2022032,2022181
717,2022032,2022182
718,2022032,2022193
719,2022032,2022183
720,2022033,2022023
721,2022033,2022204
722,2022033,2022010
723,2022033,2022166
724,2022033,2022024
725,2022033,2022205
726,2022033,2022169
727,2022033,2022206
728,2022033,2022170
729,2022033,2022171
730,2022034,2022023
731,2022034,2022164
732,2022034,2022010
733,2022034,2022166
734,2022034,2022024
735,2022034,2022167
736,2022034,2022169
737,2022034,2022170
738,2022034,2022171
